id,palabra,categoria,archivo,url
7040,enfermo,emociones,emociones/enfermo_7040.png,https://static.arasaac.org/pictograms/7040/7040_300.png
7258,soplar,acciones,acciones/soplar_7258.png,https://static.arasaac.org/pictograms/7258/7258_300.png
2742,entrar,acciones,acciones/entrar_2742.png,https://static.arasaac.org/pictograms/2742/2742_300.png
2541,queso,comida,comida/queso_2541.png,https://static.arasaac.org/pictograms/2541/2541_300.png
7190,computadora,objetos,objetos/computadora_7190.png,https://static.arasaac.org/pictograms/7190/7190_300.png
10752,cocina,lugares,lugares/cocina_10752.png,https://static.arasaac.org/pictograms/10752/10752_300.png
3340,gris,colores,colores/gris_3340.png,https://static.arasaac.org/pictograms/3340/3340_300.png
9092,oficina,lugares,lugares/oficina_9092.png,https://static.arasaac.org/pictograms/9092/9092_300.png
2348,pintar,acciones,acciones/pintar_2348.png,https://static.arasaac.org/pictograms/2348/2348_300.png
28473,rana,animales,animales/rana_28473.png,https://static.arasaac.org/pictograms/28473/28473_300.png
6942,buenas noches,saludos,saludos/buenas_noches_6942.png,https://static.arasaac.org/pictograms/6942/6942_300.png
6063,biblioteca,lugares,lugares/biblioteca_6063.png,https://static.arasaac.org/pictograms/6063/6063_300.png
4931,cuchillo,objetos,objetos/cuchillo_4931.png,https://static.arasaac.org/pictograms/4931/4931_300.png
10148,coger,acciones,acciones/coger_10148.png,https://static.arasaac.org/pictograms/10148/10148_300.png
2264,avión,transporte,transporte/avión_2264.png,https://static.arasaac.org/pictograms/2264/2264_300.png
3129,mesa,objetos,objetos/mesa_3129.png,https://static.arasaac.org/pictograms/3129/3129_300.png
6044,caminar,acciones,acciones/caminar_6044.png,https://static.arasaac.org/pictograms/6044/6044_300.png
3155,silla,objetos,objetos/silla_3155.png,https://static.arasaac.org/pictograms/3155/3155_300.png
2282,bolígrafo,objetos,objetos/bolígrafo_2282.png,https://static.arasaac.org/pictograms/2282/2282_300.png
2827,plateado,colores,colores/plateado_2827.png,https://static.arasaac.org/pictograms/2827/2827_300.png
2628,dos,numeros,numeros/dos_2628.png,https://static.arasaac.org/pictograms/2628/2628_300.png
26925,metro,transporte,transporte/metro_26925.png,https://static.arasaac.org/pictograms/26925/26925_300.png
34826,lavar,acciones,acciones/lavar_34826.png,https://static.arasaac.org/pictograms/34826/34826_300.png
38811,furioso,emociones,emociones/furioso_38811.png,https://static.arasaac.org/pictograms/38811/38811_300.png
2351,conejo,animales,animales/conejo_2351.png,https://static.arasaac.org/pictograms/2351/2351_300.png
7025,diez,numeros,numeros/diez_7025.png,https://static.arasaac.org/pictograms/7025/7025_300.png
35747,bailar,acciones,acciones/bailar_35747.png,https://static.arasaac.org/pictograms/35747/35747_300.png
6031,aeropuerto,lugares,lugares/aeropuerto_6031.png,https://static.arasaac.org/pictograms/6031/6031_300.png
21828,enviar,acciones,acciones/enviar_21828.png,https://static.arasaac.org/pictograms/21828/21828_300.png
23718,abuelo,familia,familia/abuelo_23718.png,https://static.arasaac.org/pictograms/23718/23718_300.png
2288,botella,objetos,objetos/botella_2288.png,https://static.arasaac.org/pictograms/2288/2288_300.png
2488,oso,animales,animales/oso_2488.png,https://static.arasaac.org/pictograms/2488/2488_300.png
29268,quince,numeros,numeros/quince_29268.png,https://static.arasaac.org/pictograms/29268/29268_300.png
2344,cohete,transporte,transporte/cohete_2344.png,https://static.arasaac.org/pictograms/2344/2344_300.png
2632,seis,numeros,numeros/seis_2632.png,https://static.arasaac.org/pictograms/2632/2632_300.png
2686,caramelo,comida,comida/caramelo_2686.png,https://static.arasaac.org/pictograms/2686/2686_300.png
6911,arroz,comida,comida/arroz_6911.png,https://static.arasaac.org/pictograms/6911/6911_300.png
6936,bienvenido,saludos,saludos/bienvenido_6936.png,https://static.arasaac.org/pictograms/6936/6936_300.png
25900,cama,objetos,objetos/cama_25900.png,https://static.arasaac.org/pictograms/25900/25900_300.png
2440,lápiz,objetos,objetos/lápiz_2440.png,https://static.arasaac.org/pictograms/2440/2440_300.png
35535,asustado,emociones,emociones/asustado_35535.png,https://static.arasaac.org/pictograms/35535/35535_300.png
38566,felicidades,saludos,saludos/felicidades_38566.png,https://static.arasaac.org/pictograms/38566/38566_300.png
23710,abuela,familia,familia/abuela_23710.png,https://static.arasaac.org/pictograms/23710/23710_300.png
2458,mamá,familia,familia/mamá_2458.png,https://static.arasaac.org/pictograms/2458/2458_300.png
6624,trabajar,acciones,acciones/trabajar_6624.png,https://static.arasaac.org/pictograms/6624/6624_300.png
36914,esperar,acciones,acciones/esperar_36914.png,https://static.arasaac.org/pictograms/36914/36914_300.png
2342,cocinar,acciones,acciones/cocinar_2342.png,https://static.arasaac.org/pictograms/2342/2342_300.png
32923,zapato,objetos,objetos/zapato_32923.png,https://static.arasaac.org/pictograms/32923/32923_300.png
2629,tres,numeros,numeros/tres_2629.png,https://static.arasaac.org/pictograms/2629/2629_300.png
7232,enamorado,emociones,emociones/enamorado_7232.png,https://static.arasaac.org/pictograms/7232/7232_300.png
2638,águila,animales,animales/águila_2638.png,https://static.arasaac.org/pictograms/2638/2638_300.png
32446,escuela,lugares,lugares/escuela_32446.png,https://static.arasaac.org/pictograms/32446/32446_300.png
2423,hermano,familia,familia/hermano_2423.png,https://static.arasaac.org/pictograms/2423/2423_300.png
2437,jirafa,animales,animales/jirafa_2437.png,https://static.arasaac.org/pictograms/2437/2437_300.png
23392,jugar,acciones,acciones/jugar_23392.png,https://static.arasaac.org/pictograms/23392/23392_300.png
4952,pollo,animales,animales/pollo_4952.png,https://static.arasaac.org/pictograms/4952/4952_300.png
8349,papel,objetos,objetos/papel_8349.png,https://static.arasaac.org/pictograms/8349/8349_300.png
9907,feliz,emociones,emociones/feliz_9907.png,https://static.arasaac.org/pictograms/9907/9907_300.png
2530,plátano,comida,comida/plátano_2530.png,https://static.arasaac.org/pictograms/2530/2530_300.png
2546,ratón,animales,animales/ratón_2546.png,https://static.arasaac.org/pictograms/2546/2546_300.png
17044,recibir,acciones,acciones/recibir_17044.png,https://static.arasaac.org/pictograms/17044/17044_300.png
8129,gracias,saludos,saludos/gracias_8129.png,https://static.arasaac.org/pictograms/8129/8129_300.png
2400,fresa,comida,comida/fresa_2400.png,https://static.arasaac.org/pictograms/2400/2400_300.png
31408,orgulloso,emociones,emociones/orgulloso_31408.png,https://static.arasaac.org/pictograms/31408/31408_300.png
2633,siete,numeros,numeros/siete_2633.png,https://static.arasaac.org/pictograms/2633/2633_300.png
29260,once,numeros,numeros/once_29260.png,https://static.arasaac.org/pictograms/29260/29260_300.png
3241,pelota,objetos,objetos/pelota_3241.png,https://static.arasaac.org/pictograms/3241/3241_300.png
29905,estación,lugares,lugares/estación_29905.png,https://static.arasaac.org/pictograms/29905/29905_300.png
6522,hola,saludos,saludos/hola_6522.png,https://static.arasaac.org/pictograms/6522/6522_300.png
6456,comer,acciones,acciones/comer_6456.png,https://static.arasaac.org/pictograms/6456/6456_300.png
2565,pantalón,objetos,objetos/pantalón_2565.png,https://static.arasaac.org/pictograms/2565/2565_300.png
2955,kiwi,comida,comida/kiwi_2955.png,https://static.arasaac.org/pictograms/2955/2955_300.png
24972,cerdo,animales,animales/cerdo_24972.png,https://static.arasaac.org/pictograms/24972/24972_300.png
6964,casa,objetos,objetos/casa_6964.png,https://static.arasaac.org/pictograms/6964/6964_300.png
2446,lechuga,comida,comida/lechuga_2446.png,https://static.arasaac.org/pictograms/2446/2446_300.png
2309,camiseta,objetos,objetos/camiseta_2309.png,https://static.arasaac.org/pictograms/2309/2309_300.png
6564,mirar,acciones,acciones/mirar_6564.png,https://static.arasaac.org/pictograms/6564/6564_300.png
2568,serpiente,animales,animales/serpiente_2568.png,https://static.arasaac.org/pictograms/2568/2568_300.png
35529,sorprendido,emociones,emociones/sorprendido_35529.png,https://static.arasaac.org/pictograms/35529/35529_300.png
2519,pescado,comida,comida/pescado_2519.png,https://static.arasaac.org/pictograms/2519/2519_300.png
2403,gallina,animales,animales/gallina_2403.png,https://static.arasaac.org/pictograms/2403/2403_300.png
35547,contento,emociones,emociones/contento_35547.png,https://static.arasaac.org/pictograms/35547/35547_300.png
9093,beige,colores,colores/beige_9093.png,https://static.arasaac.org/pictograms/9093/9093_300.png
32942,mercado,lugares,lugares/mercado_32942.png,https://static.arasaac.org/pictograms/32942/32942_300.png
8043,blanco,colores,colores/blanco_8043.png,https://static.arasaac.org/pictograms/8043/8043_300.png
2808,rojo,colores,colores/rojo_2808.png,https://static.arasaac.org/pictograms/2808/2808_300.png
3118,iglesia,lugares,lugares/iglesia_3118.png,https://static.arasaac.org/pictograms/3118/3118_300.png
8153,llave,objetos,objetos/llave_8153.png,https://static.arasaac.org/pictograms/8153/8153_300.png
2269,balón,objetos,objetos/balón_2269.png,https://static.arasaac.org/pictograms/2269/2269_300.png
2627,uno,numeros,numeros/uno_2627.png,https://static.arasaac.org/pictograms/2627/2627_300.png
2419,hamburguesa,comida,comida/hamburguesa_2419.png,https://static.arasaac.org/pictograms/2419/2419_300.png
2619,zanahoria,comida,comida/zanahoria_2619.png,https://static.arasaac.org/pictograms/2619/2619_300.png
2631,cinco,numeros,numeros/cinco_2631.png,https://static.arasaac.org/pictograms/2631/2631_300.png
11461,jugo,comida,comida/jugo_11461.png,https://static.arasaac.org/pictograms/11461/11461_300.png
2732,delfín,animales,animales/delfín_2732.png,https://static.arasaac.org/pictograms/2732/2732_300.png
6956,camión,transporte,transporte/camión_6956.png,https://static.arasaac.org/pictograms/6956/6956_300.png
26479,teléfono,objetos,objetos/teléfono_26479.png,https://static.arasaac.org/pictograms/26479/26479_300.png
2490,pájaro,animales,animales/pájaro_2490.png,https://static.arasaac.org/pictograms/2490/2490_300.png
2294,caballo,animales,animales/caballo_2294.png,https://static.arasaac.org/pictograms/2294/2294_300.png
2557,sandía,comida,comida/sandía_2557.png,https://static.arasaac.org/pictograms/2557/2557_300.png
25790,amigo,familia,familia/amigo_25790.png,https://static.arasaac.org/pictograms/25790/25790_300.png
2427,huevo,comida,comida/huevo_2427.png,https://static.arasaac.org/pictograms/2427/2427_300.png
28431,dar,acciones,acciones/dar_28431.png,https://static.arasaac.org/pictograms/28431/28431_300.png
2594,tomate,comida,comida/tomate_2594.png,https://static.arasaac.org/pictograms/2594/2594_300.png
24725,subir,acciones,acciones/subir_24725.png,https://static.arasaac.org/pictograms/24725/24725_300.png
2380,escribir,acciones,acciones/escribir_2380.png,https://static.arasaac.org/pictograms/2380/2380_300.png
2359,cuaderno,objetos,objetos/cuaderno_2359.png,https://static.arasaac.org/pictograms/2359/2359_300.png
7141,leer,acciones,acciones/leer_7141.png,https://static.arasaac.org/pictograms/7141/7141_300.png
30484,ansioso,emociones,emociones/ansioso_30484.png,https://static.arasaac.org/pictograms/30484/30484_300.png
33064,patio,lugares,lugares/patio_33064.png,https://static.arasaac.org/pictograms/33064/33064_300.png
2648,amarillo,colores,colores/amarillo_2648.png,https://static.arasaac.org/pictograms/2648/2648_300.png
6929,baño,lugares,lugares/baño_6929.png,https://static.arasaac.org/pictograms/6929/6929_300.png
6556,maestro,familia,familia/maestro_6556.png,https://static.arasaac.org/pictograms/6556/6556_300.png
6935,bicicleta,transporte,transporte/bicicleta_6935.png,https://static.arasaac.org/pictograms/6935/6935_300.png
8522,camello,animales,animales/camello_8522.png,https://static.arasaac.org/pictograms/8522/8522_300.png
26358,radio,objetos,objetos/radio_26358.png,https://static.arasaac.org/pictograms/26358/26358_300.png
2477,mono,animales,animales/mono_2477.png,https://static.arasaac.org/pictograms/2477/2477_300.png
2520,pez,animales,animales/pez_2520.png,https://static.arasaac.org/pictograms/2520/2520_300.png
21818,encender,acciones,acciones/encender_21818.png,https://static.arasaac.org/pictograms/21818/21818_300.png
2268,ballena,animales,animales/ballena_2268.png,https://static.arasaac.org/pictograms/2268/2268_300.png
35545,triste,emociones,emociones/triste_35545.png,https://static.arasaac.org/pictograms/35545/35545_300.png
36673,tirar,acciones,acciones/tirar_36673.png,https://static.arasaac.org/pictograms/36673/36673_300.png
6944,buenos días,saludos,saludos/buenos_días_6944.png,https://static.arasaac.org/pictograms/6944/6944_300.png
2869,panda,animales,animales/panda_2869.png,https://static.arasaac.org/pictograms/2869/2869_300.png
25187,león,animales,animales/león_25187.png,https://static.arasaac.org/pictograms/25187/25187_300.png
2611,ventana,objetos,objetos/ventana_2611.png,https://static.arasaac.org/pictograms/2611/2611_300.png
6947,buscar,acciones,acciones/buscar_6947.png,https://static.arasaac.org/pictograms/6947/6947_300.png
2489,oveja,animales,animales/oveja_2489.png,https://static.arasaac.org/pictograms/2489/2489_300.png
2630,cuatro,numeros,numeros/cuatro_2630.png,https://static.arasaac.org/pictograms/2630/2630_300.png
29274,dieciocho,numeros,numeros/dieciocho_29274.png,https://static.arasaac.org/pictograms/29274/29274_300.png
3151,rosa,colores,colores/rosa_3151.png,https://static.arasaac.org/pictograms/3151/3151_300.png
2475,mochila,objetos,objetos/mochila_2475.png,https://static.arasaac.org/pictograms/2475/2475_300.png
2313,canguro,animales,animales/canguro_2313.png,https://static.arasaac.org/pictograms/2313/2313_300.png
8312,galleta,comida,comida/galleta_8312.png,https://static.arasaac.org/pictograms/8312/8312_300.png
31146,papá,familia,familia/papá_31146.png,https://static.arasaac.org/pictograms/31146/31146_300.png
2623,zorro,animales,animales/zorro_2623.png,https://static.arasaac.org/pictograms/2623/2623_300.png
2609,vaca,animales,animales/vaca_2609.png,https://static.arasaac.org/pictograms/2609/2609_300.png
6960,cantar,acciones,acciones/cantar_6960.png,https://static.arasaac.org/pictograms/6960/6960_300.png
2377,ensalada,comida,comida/ensalada_2377.png,https://static.arasaac.org/pictograms/2377/2377_300.png
4869,azul,colores,colores/azul_4869.png,https://static.arasaac.org/pictograms/4869/4869_300.png
2299,calle,lugares,lugares/calle_2299.png,https://static.arasaac.org/pictograms/2299/2299_300.png
24723,bajar,acciones,acciones/bajar_24723.png,https://static.arasaac.org/pictograms/24723/24723_300.png
2422,hermana,familia,familia/hermana_2422.png,https://static.arasaac.org/pictograms/2422/2422_300.png
6932,barco,transporte,transporte/barco_6932.png,https://static.arasaac.org/pictograms/6932/6932_300.png
2573,sopa,comida,comida/sopa_2573.png,https://static.arasaac.org/pictograms/2573/2573_300.png
30391,nervioso,emociones,emociones/nervioso_30391.png,https://static.arasaac.org/pictograms/30391/30391_300.png
25191,libro,objetos,objetos/libro_25191.png,https://static.arasaac.org/pictograms/25191/25191_300.png
6479,dormir,acciones,acciones/dormir_6479.png,https://static.arasaac.org/pictograms/6479/6479_300.png
5975,cortar,acciones,acciones/cortar_5975.png,https://static.arasaac.org/pictograms/5975/5975_300.png
32408,restaurante,lugares,lugares/restaurante_32408.png,https://static.arasaac.org/pictograms/32408/32408_300.png
29264,trece,numeros,numeros/trece_29264.png,https://static.arasaac.org/pictograms/29264/29264_300.png
6610,saludar,saludos,saludos/saludar_6610.png,https://static.arasaac.org/pictograms/6610/6610_300.png
21399,tren,transporte,transporte/tren_21399.png,https://static.arasaac.org/pictograms/21399/21399_300.png
2549,reloj,objetos,objetos/reloj_2549.png,https://static.arasaac.org/pictograms/2549/2549_300.png
6922,avergonzado,emociones,emociones/avergonzado_6922.png,https://static.arasaac.org/pictograms/6922/6922_300.png
2859,parque,lugares,lugares/parque_2859.png,https://static.arasaac.org/pictograms/2859/2859_300.png
7176,niño,familia,familia/niño_7176.png,https://static.arasaac.org/pictograms/7176/7176_300.png
3244,puerta,objetos,objetos/puerta_3244.png,https://static.arasaac.org/pictograms/3244/3244_300.png
6523,hospital,lugares,lugares/hospital_6523.png,https://static.arasaac.org/pictograms/6523/6523_300.png
6561,doctor,familia,familia/doctor_6561.png,https://static.arasaac.org/pictograms/6561/6561_300.png
35531,aburrido,emociones,emociones/aburrido_35531.png,https://static.arasaac.org/pictograms/35531/35531_300.png
2634,ocho,numeros,numeros/ocho_2634.png,https://static.arasaac.org/pictograms/2634/2634_300.png
16857,plato,objetos,objetos/plato_16857.png,https://static.arasaac.org/pictograms/16857/16857_300.png
29262,doce,numeros,numeros/doce_29262.png,https://static.arasaac.org/pictograms/29262/29262_300.png
6028,adios,saludos,saludos/adios_6028.png,https://static.arasaac.org/pictograms/6028/6028_300.png
35695,tienda,lugares,lugares/tienda_35695.png,https://static.arasaac.org/pictograms/35695/35695_300.png
6568,nadar,acciones,acciones/nadar_6568.png,https://static.arasaac.org/pictograms/6568/6568_300.png
2502,torta,comida,comida/torta_2502.png,https://static.arasaac.org/pictograms/2502/2502_300.png
2383,espaguetis,comida,comida/espaguetis_2383.png,https://static.arasaac.org/pictograms/2383/2383_300.png
4887,verde,colores,colores/verde_4887.png,https://static.arasaac.org/pictograms/4887/4887_300.png
2445,leche,comida,comida/leche_2445.png,https://static.arasaac.org/pictograms/2445/2445_300.png
24825,abrir,acciones,acciones/abrir_24825.png,https://static.arasaac.org/pictograms/24825/24825_300.png
8088,dibujar,acciones,acciones/dibujar_8088.png,https://static.arasaac.org/pictograms/8088/8088_300.png
2372,elefante,animales,animales/elefante_2372.png,https://static.arasaac.org/pictograms/2372/2372_300.png
2923,marrón,colores,colores/marrón_2923.png,https://static.arasaac.org/pictograms/2923/2923_300.png
2494,pan,objetos,objetos/pan_2494.png,https://static.arasaac.org/pictograms/2494/2494_300.png
4952,pollo,comida,comida/pollo_4952.png,https://static.arasaac.org/pictograms/4952/4952_300.png
8195,por favor,saludos,saludos/por_favor_8195.png,https://static.arasaac.org/pictograms/8195/8195_300.png
31146,papas,comida,comida/papas_31146.png,https://static.arasaac.org/pictograms/31146/31146_300.png
2635,nueve,numeros,numeros/nueve_2635.png,https://static.arasaac.org/pictograms/2635/2635_300.png
24976,cerrar,acciones,acciones/cerrar_24976.png,https://static.arasaac.org/pictograms/24976/24976_300.png
2580,taxi,transporte,transporte/taxi_2580.png,https://static.arasaac.org/pictograms/2580/2580_300.png
11625,perdón,saludos,saludos/perdón_11625.png,https://static.arasaac.org/pictograms/11625/11625_300.png
28479,pato,animales,animales/pato_28479.png,https://static.arasaac.org/pictograms/28479/28479_300.png
35529,sorprendido,emociones,emociones/sorprendido_35529.png,https://static.arasaac.org/pictograms/35529/35529_300.png
2316,carne,comida,comida/carne_2316.png,https://static.arasaac.org/pictograms/2316/2316_300.png
6964,casa,lugares,lugares/casa_6964.png,https://static.arasaac.org/pictograms/6964/6964_300.png
2739,dorado,colores,colores/dorado_2739.png,https://static.arasaac.org/pictograms/2739/2739_300.png
29266,catorce,numeros,numeros/catorce_29266.png,https://static.arasaac.org/pictograms/29266/29266_300.png
29550,veinte,numeros,numeros/veinte_29550.png,https://static.arasaac.org/pictograms/29550/29550_300.png
2527,pizza,comida,comida/pizza_2527.png,https://static.arasaac.org/pictograms/2527/2527_300.png
2907,morado,colores,colores/morado_2907.png,https://static.arasaac.org/pictograms/2907/2907_300.png
26503,tortuga,animales,animales/tortuga_26503.png,https://static.arasaac.org/pictograms/26503/26503_300.png
35531,aburrido,emociones,emociones/aburrido_35531.png,https://static.arasaac.org/pictograms/35531/35531_300.png
7114,gato,animales,animales/gato_7114.png,https://static.arasaac.org/pictograms/7114/7114_300.png
